Hindi,English
"	???",In
?? (hai),The (hai)
??? (ha?i),Applications (ha?i)
???? (nah??),No (nah?)
??? (lie),To (lie)
??? (gay?),The (gay?)
??? (tath?),And (tath?)
???? (apne),Your (Apne)
??? (kuch),Some (Kuch)
??? (s?th),With (s?th)
???? (hot?),The (hot?)
?? (th?),Was (th?)
???? (diy?),Cookies (diy?)
??? (hue),And (hue)
??? (ko?),No (ko?)
??? (r?p),As (r?p)
?? (se),The (se)
??? (ma?i),I (ma?i)
??? (rah?),Am (rah?)
??? (hu?),The (hu?)
??? (b?t),Point (b?t)
??? (kah?),Said (kah?)
??? (samay),Time (Samay)
???? (ky?),What (ky?)
???? (apn?),Your (apn?)
???? (hot?),The (hot?)
?????? (prak?r),Type (prak?r)
???? (bahut),Much (bahut)
??? (tarah),Like (Tarah)
??? (b?d),After (b?d)
??? (phir),Then (phir)
??? (rahe),Are (Rahe)
?????? (dv?r?),By (dv?r?)
???? (adhik),More (adhik)
??? (rah?),The (rah?)
???? (hone),Having (hone)
??? (evã),And (evã)
??? (hu?),Hui (hu?)
?? (the),Were (the)
???? (unke),Them (unke)
?? (th?),Was (th?)
???? (v?le),With (v?le)
????? (c?hie),Should (c?hie)
??? (din),Day (din)
????? (lekin),But (lekin)
??? (k?m),Work (k?m)
??? (h??),I (h?)
???? (hote),Are (hote)
???? (iske),In (iske)
?????? (unh?),They (unh?)
??? (gaye),Added (Gaye)
??? (kabh?),Never (kabh?)
??? (?di),Etc. (?di)
??? (log),People (log)
??? (b?r),Time (b?r)
???? (yah??),Here (yah?)
????? (donõ),Both (donõ)
???????? (unhonne),He (unhonne)
????? (k?rya),Working (k?rya)
??? (p?s),Close (p?s)
???? (vah??),There (vah?)
???? (bh?rat),India (bh?rat)
???? (liy?),Taken (liy?)
??????? (pr?pt),Download (pr?pt)
???? (unk?),His (unk?)
????? (logõ),People (logõ)
??? (gay?),Twitter (gay?)
??? (lag?),Felt (lag?)
???? (anya),Other (Anya)
???? (hog?),Will (hog?)
??? (is?),Similar (is?)
??? (de?),Country (de?)
??? (yadi),If (Yadi)
??? (sabh?),All (sabh?)
??? (n?m),Name (n?m)
???? (var?),Year (var?)
??? (ais?),It (ais?)
????? (vik?s),Development (vik?s)
???? (apn?),Your (apn?)
??? (aise),Such (aise)
????? (d?sre),Other (d?sre)
??? (h?th),Hand (h?th)
???? (bh???),Language (bh???)
???? (mere),My (mere)
????? (mainne),I (mainne)
??? (tum),You (tum)
??? (b?c),Between (b?c)
???? (v?l?),By (v?l?)
???? (ba?e),Large (ba?e)
????? (prati),Per (Prati)
??????? (vyakti),Person (vyakti)
???? (unk?),His (unk?)
???? (liye),For (liye)
????? (islie),So (islie)
??? (t?n),Three (t?n)
???? (isk?),This (isk?)
??? (ais?),Such (ais?)
????? (vi?e?),Special (vi?e?)
???? (ba??),Large (ba??)
???? (athv?),Or (athv?)
??? (bh?g),Part (bh?g)
??????? (kyo?ki),Because (kyo?ki)
???? (s?h),Singh (s?h)
??? (?h?k),OK (?h?k)
?????? (sthiti),Condition (sthiti)
?????? (parantu),But (parantu)
????? (sth?n),Location (sth?n)
??? (yah?),That (yah?)
????? (kyõ),Why (kyõ)
???? (g??v),Village (g?v)
????? (r?jya),State (r?jya)
??? (alag),Different (Alag)
???? (lekar),From (lekar)
??? (abh?),Book (abh?)
????? (ism?),It (ism?)
??????? (vibhinna),Various (vibhinna)
?? (s?),C (s?)
